chr-ID	bp-header	bp-start	bp-end	OrfID	gene
3	123717	122850	121294	ORF19.2054	FGR15
3	270697	270403	268985	ORF19.1457	
3	345474	345349	343994	ORF19.1496	
3	350731	346606	345494	ORF19.1497	ZCF6
3	346606	350731	354165	ORF19.1499	CTF1
3	455598	452791	451490	ORF19.1543	OPI1
3	459087	459139	459870	ORF19.1548	
3	481408	481184	479343	ORF19.1565	
3	506652	507756	509084	ORF19.1577	
3	529559	530098	531411	ORF19.1589	
3	562032	561278	560829	ORF19.5825	NCB1
3	663750	660121	658991	ORF19.909	STP4
3	700558	700893	702539	ORF19.889	THI20
3	810413	809639	809163	ORF19.837.1	INO4
3	880090	880878	883538	ORF19.801	TBF1
3	887895	887089	886180	ORF19.798	TAF14
3	963470	965502	968417	ORF19.4488	
3	1014567	1015910	1017148	ORF19.4125	PZF1
3	1143912	1150098	1151921	ORF19.6874	
3	1165501	1164808	1164161	ORF19.6881	YTH1
3	1176415	1178328	1179766	ORF19.6888	
3	1204193	1200658	1198925	ORF19.5210	
3	1290576	1295452	1297614	ORF19.5498	EFH1
3	1402483	1401601	1398143	ORF19.2236	FHL1
3	1441079	1441294	1442382	ORF19.2260	
3	1466301	1464540	1462144	ORF19.2272	AFT2
3	1476933	1476115	1473350	ORF19.2280	ZCF10
3	1728403	1727787	1726738	ORF19.3625	
3	1807645	1809207	1810346	ORF19.217	
3	1819896	1820192	1820734	ORF19.211	
3	1936617	1933514	1930310	ORF19.1604	
3	2029865	2031301	2032272	ORF19.1358	GCN4
3	2066004	2066997	2068286	ORF19.1773	RAP1
3	2102914	2100586	2099138	ORF19.1759	PHO23
3	2100586	2102914	2104665	ORF19.1757	
3	2171046	2171303	2172112	ORF19.5326	
3	2181357	2180422	2179811	ORF19.5334	
3	2185575	2186699	2187484	ORF19.5338	GAL4
3	2193671	2194673	2196022	ORF19.5343	ASH1
4	116948	115299	113160	ORF19.5389	FKH2
4	139983	140434	143019	ORF19.5380	LYS144
4	258650	259891	260898	ORF19.1729	
4	282177	285486	288233	ORF19.1718	ZCF8
4	294452	293369	291579	ORF19.1715	IRO1
4	324275	324005	322944	ORF19.1697	
4	335872	332767	324275	ORF19.1693	CAS4
4	347142	347788	349137	ORF19.1685	ZCF7
4	395152	394543	390791	ORF19.1667	
4	477388	479014	480513	ORF19.1623	CAP1
4	572936	572777	570261	ORF19.255	ZCF1
4	577383	577760	578515	ORF19.259	
4	611086	612136	615309	ORF19.274	TFC4
4	698550	698364	696997	ORF19.329	
4	841185	839511	836275	ORF19.2808	ZCF16
4	862551	861885	859327	ORF19.5855	MBP1
4	958170	952101	949870	ORF19.5908	TEC1
4	960678	960449	958170	ORF19.5910	
4	973882	970364	969054	ORF19.5917	STP1
4	981689	985124	988516	ORF19.5924	ZCF31
4	1018162	1017491	1015341	ORF19.5940	ZCF32
4	1039152	1041439	1042776	ORF19.5953	
4	1085081	1087655	1088515	ORF19.5975	TRY4
4	1107791	1118833	1120173	ORF19.5992	WOR2
4	1229056	1229452	1232154	ORF19.6985	TEA1
4	1298172	1295013	1292818	ORF19.7359	CRZ1
4	1324672	1325561	1328869	ORF19.7371	ZCF35
4	1328869	1329371	1332697	ORF19.7372	MRR1
4	1332697	1333933	1336983	ORF19.7374	CTA4
4	1352462	1362620	1364494	ORF19.7381	AHR1
4	1372216	1373821	1375326	ORF19.7385	
4	1398315	1399182	1402451	ORF19.7397	
4	1417276	1416935	1416117	ORF19.7413	MMS21
4	1446611	1441679	1438509	ORF19.7401	ISW2
4	1469713	1477306	1479144	ORF19.7436	AAF1
4	1546144	1549098	1550501	ORF19.6824	TRY6
4	1561051	1568559	1570112	ORF19.6817	FCR1
4	1604736	1608040	1611282	ORF19.6798	SSN6
4	1652562	1651363	1649783	ORF19.6781	ZFU2
4	1758276	1761919	1763124	ORF19.6713	
4	1781188	1780655	1778523	ORF19.6182	ZCF34
5	36235	36910	39081	ORF19.5651	
5	127113	131943	133832	ORF19.4166	ZCF21
5	240615	241405	243870	ORF19.4670	CAS5
5	251564	253048	254883	ORF19.4662	RLM1
5	281425	283245	286835	ORF19.4649	ZCF27
5	286835	287709	288817	ORF19.4647	HAP3
5	329559	329218	327722	ORF19.4628	
5	400106	405150	408485	ORF19.4590	RFX2
5	435219	434656	432164	ORF19.4573	ZCF26
5	442108	441248	438831	ORF19.4568	ZCF25
5	500130	501568	504402	ORF19.2753	ZCF15
5	512530	508877	504621	ORF19.2752	ADR1
5	515620	517410	520334	ORF19.2748	ARG83
5	520334	523970	527059	ORF19.2747	RGT1
5	531821	531366	529990	ORF19.2745	UME7
5	534009	533641	531821	ORF19.2743	
5	548009	547581	547141	ORF19.2736	HFL2
5	553566	553938	555758	ORF19.2730	
5	851215	854134	855291	ORF19.5312	MET4
5	946259	947694	949217	ORF19.3845	FGR3
5	964922	965204	969403	ORF19.3833	
5	998880	997715	996165	ORF19.3820	
5	1012754	1013121	1015337	ORF19.3809	BAS1
5	1048399	1044124	1042268	ORF19.3794	CSR1
5	1247755	1249554	1251533	ORF19.1253	PHO4
5	1254341	1256317	1259235	ORF19.1255	ZCF5
5	1269830	1269219	1264888	ORF19.1259	
5	1302003	1298544	1296853	ORF19.1274	
5	1298544	1302003	1304069	ORF19.1275	GAT1
5	1469944	1471203	1472237	ORF19.2876	CBF1
5	1486436	1487112	1488662	ORF19.2866	
5	1527936	1520318	1519161	ORF19.3127	CZF1
5	1583801	1584008	1584547	ORF19.3088	
6	36656	35884	33839	ORF19.976	BRE1
6	40126	40891	42570	ORF19.971	SKN7
6	156807	153233	151176	ORF19.921	HMS1
6	159627	159330	158188	ORF19.567	TFB3
6	215867	215592	214546	ORF19.1973	HAP5
6	311744	313356	315341	ORF19.1926	SEF2
6	338274	336412	333155	ORF19.4145	ZCF20
6	394560	394455	393493	ORF19.3201	A.MTLA1
6	395335	395220	394560	ORF19.3200	A.MTLA2
6	396429	396217	395636	ORF19.10712	B.MTLALPHA1
6	400895	401602	402221	ORF19.10708	B.MTLALPHA2
6	404634	407977	409176	ORF19.3193	FCR3
6	416430	415006	411974	ORF19.3190	HAL9
6	420956	419375	416430	ORF19.3188	TAC1
6	424411	423724	420956	ORF19.3187	ZNC1
6	429048	429623	430150	ORF19.3182	GIS2
6	487831	487140	484186	ORF19.4225	LEU3
6	535088	535579	537678	ORF19.4251	ZCF22
6	607180	607840	610344	ORF19.4288	CTA7
6	622586	623550	625994	ORF19.4301	
6	654510	653658	651946	ORF19.4318	MIG1
6	664494	664935	666956	ORF19.4326	
6	692784	697397	698467	ORF19.4342	SUT1
6	756050	755770	754184	ORF19.2647	ZCF14
6	760524	759778	756050	ORF19.2646	ZCF13
6	814416	816610	818973	ORF19.6680	FGR27
6	952095	949897	947849	ORF19.3912	GLN3
6	974703	974251	973109	ORF19.3928	
6	1052032	1053870	1056014	ORF19.3969	SFL2
6	1095702	1094318	1091736	ORF19.3986	PPR1
6	1112189	1119088	1121145	ORF19.4000	GRF10
7	21616	21525	20920	ORF19.1178	
7	30796	32572	35133	ORF19.1187	CPH2
7	112829	112970	113368	ORF19.4195	
7	304836	301239	298270	ORF19.3434	TRY5
7	372443	372783	373919	ORF19.3407	RAD18
7	378751	378225	376633	ORF19.3405	ZCF18
7	383593	383745	386039	ORF19.3399	
7	397098	396286	394739	ORF19.684	
7	569428	569040	567262	ORF19.5548	LYS14
7	588852	588152	586548	ORF19.5558	RBF1
7	756971	755643	754024	ORF19.5722	
7	764938	767847	769811	ORF19.5729	FGR17
7	938440	940096	946146	ORF19.1084	CDC39
7	964642	962185	959807	ORF19.1093	FLO8
8	33545	33810	34454	ORF19.7098	
8	81905	82584	83879	ORF19.7068	MAC1
8	134273	135510	136031	ORF19.7046	MET28
8	189687	188811	188023	ORF19.7025	MCM1
8	209134	206040	205033	ORF19.7017	YOX1
8	457369	450910	449876	ORF19.6514	CUP9
8	700597	700360	697043	ORF19.5133	ZCF29
8	838234	837811	837047	ORF19.5501	YAF9
8	915967	918848	919780	ORF19.7150	NRG1
9	34247	36752	38833	ORF19.7521	REP1
9	41283	41616	43364	ORF19.7518	ZCF38
9	104234	104010	102103	ORF19.7492	SWC4
9	230394	231768	234404	ORF19.3252	DAL81
9	334487	334918	336906	ORF19.2528	
9	353276	353353	355770	ORF19.2540	SAS3
9	361881	361143	359341	ORF19.2545	DOT6
9	463715	463126	462374	ORF19.2612	
9	484040	482445	479692	ORF19.3753	SEF1
9	518256	517873	516764	ORF19.3736	KAR4
9	542623	542237	539688	ORF19.3722	
9	554016	556961	560263	ORF19.173	
9	574726	573050	570078	ORF19.166	ASG1
9	586101	600293	602095	ORF19.2823	RFG1
9	641346	641823	643490	ORF19.2839	CIRT4B
9	653856	649544	647412	ORF19.2842	GZF3
9	661108	660647	658860	ORF19.2847	
9	665708	665139	664111	ORF19.2674	
9	698444	697519	695735	ORF19.2423	ZCF11
9	728527	728183	726438	ORF19.2399	
9	744086	743782	742231	ORF19.2393	
9	911117	910720	909362	ORF19.487	SPT14
9	951493	952043	953515	ORF19.513	
9	957305	957652	957969	ORF19.517	HAP31
9	961925	961300	960713	ORF19.519	
9	1136826	1136506	1135448	ORF19.1007	KCS1
9	1179341	1178837	1177101	ORF19.5849	CWT1
9	1234729	1235065	1235691	ORF19.6626	
9	1274197	1258160	1255743	ORF19.454	SFL1
9	1308722	1305024	1302469	ORF19.3865	RFX1
9	1330825	1330126	1328267	ORF19.3876	ZCF19
9	1378138	1370532	1368310	ORF19.723	BCR1
9	1386474	1386011	1383936	ORF19.718	RRN11
9	1532346	1525254	1523701	ORF19.2356	CRZ2
9	1610563	1611848	1614199	ORF19.6124	ACE2
9	1618215	1617244	1614527	ORF19.6121	MNL1
9	1634741	1631995	1629413	ORF19.2623	ECM22
9	1713758	1723589	1725166	ORF19.610	EFG1
9	1814138	1814387	1815739	ORF19.6407	
9	1935993	1934844	1933084	ORF19.7301	
9	1961827	1961409	1959961	ORF19.7317	UGA33
9	1961409	1961827	1963332	ORF19.7319	SUC1
9	2133698	2132371	2129960	ORF19.7570	UGA32
9	2155634	2154225	2152180	ORF19.7583	ZCF39
